2000,CONSERVATION AND THE ENVIRONMENT,University of Montana,Missoula,Montana,,,To support a program of ecological research and training,360000,public
2000,CONSERVATION AND THE ENVIRONMENT,University of Nevada at Las Vegas,Las Vegas,Nevada,,,To support a program of ecological research and training,235000,public
2000,CONSERVATION AND THE ENVIRONMENT,University of Nevada at Reno,Reno,Nevada,,,To support a program of ecological research and training,90000,public
2000,CONSERVATION AND THE ENVIRONMENT,University of Pennsylvania,Philadelphia,Pennsylvania,,,To support a program of ecological research and training,415000,ivy
2000,CONSERVATION AND THE ENVIRONMENT,University of Puerto Rico,San Juan,Puerto Rico,,,To support a program of ecological research and training,239000,public
2000,CONSERVATION AND THE ENVIRONMENT,University of the Witwatersrand,Johannesburg,,,South Africa,To support a program of ecological research and training,25000
2000,CONSERVATION AND THE ENVIRONMENT,University of Wisconsin at Madison,Madison,Wisconsin,,,To support a program of ecological research and training,690000,public
2000,CONSERVATION AND THE ENVIRONMENT,Woods Hole Oceanographic Institution,Woods Hole,Massachusetts,,,To support a program of ecological research and training,220000
2000,CONSERVATION AND THE ENVIRONMENT,Yale University,New Haven,Connecticut,,,To support a summary publication of research projects on basic ecology of the Copper River Delta in Alaska,30000,ivy
2000,CONSERVATION AND THE ENVIRONMENT,Yale University,New Haven,Connecticut,,,To support a program of ecological research and training,28000,ivy
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Art Institute of Chicago,Chicago,Illinois,,,To establish a permanent endowment in support of a Senior Conservation Scientist and to establish and operate a scientific laboratory,2750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Art Institute of Chicago,Chicago,Illinois,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Brooklyn Institute of Arts and Sciences,Brooklyn,New York,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,"Buffalo State College Foundation, Inc.",Buffalo,New York,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,2400000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Detroit Institute of Arts Founders Society,Detroit,Michigan,,,To establish a permanent endowment in support of curatorial research and travel and a program for visiting curatorial specialists,750000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Foundation of the American Institute for,Washington,DC,,,To endow a program for mid-career training of conservation professionals and to support the position of Program Director,1800000
2000,MUSEUMS AND ART CONSERVATION                                                                       ,Foundation of the American Institute for,Washington,DC,,,To support a study tour in France for mid-career wooden artifact conservators,45000
2000,MUSEUMS AND ART CONSERVATION,George Eastman House,Rochester,New York,,,For supplementary equipment to support training in the field of photograph conservation,145250
2000,MUSEUMS AND ART CONSERVATION,George Eastman House,Rochester,New York,,,To support expenses associated with the selection process for the Mellon Advanced Residency Program in Photograph Conservation,14000
2000,MUSEUMS AND ART CONSERVATION,Henry E. Huntington Library & Art Gallery,San Marino,California,,,To establish three postdoctoral Andrew W. Mellon Curatorial Fellowships,390000
2000,MUSEUMS AND ART CONSERVATION,Institute of Fine Arts Foundation,New York,New York,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,1800000
2000,MUSEUMS AND ART CONSERVATION,"Isabella Stewart Gardner Museum, Inc.",Boston,Massachusetts,,,To support scholarly exhibitions based on the permanent collection,750000
2000,MUSEUMS AND ART CONSERVATION,"Isabella Stewart Gardner Museum, Inc.",Boston,Massachusetts,,,To support scholarly exhibitions based on the permanent collection,50000
2000,MUSEUMS AND ART CONSERVATION,Kansas University Endowment Association,Lawrence,Kansas,,,To establish a permanent endowment to strengthen the educational role of the museum's collections and programs,475000
2000,MUSEUMS AND ART CONSERVATION,"Museum of Fine Arts, Boston",Boston,Massachusetts,,,To improve scholarly access to unique archival documents,750000
