American Fund of the University
Tulane University
University Press of Colorado
University of the South
University of Leeds
Bethune-Cookman College
University of Fort Hare
The University of York
University of Oxford
Robert W. Woodruff Library of the Atlanta University
Rhodes University
University of Turku
College Entrance Examination Board
University of Graz
New School University
Randolph-Macon Woman's College
Morris Brown College
"Wageningen University, Department of Plant Sciences"
University of Sydney
York University
University of the Sciences in Philadelphia
University of York
University of Tokyo
Anatolia College
Cairo University
American University - Central Asia
American University of Beirut
The Five Colleges of Ohio
University of Kansas Medical Center
Southwest Missouri State University
University of Hertfordshire
University Library Bratislava
University of Warwick
Louisiana State University and
University Corporation for Advanced
Acadia University
National University of Ireland at Galway
"University of Dublin, Trinity College"
Five Colleges Incorporated
University of Waterloo
City College of New York
Trinity College (Hartford)
University of Aberdeen
The University of Fort Hare
Queen's University at Kingston
Wageningen University
University of South Africa
University of Warsaw
University of Nebraska Board of Regents
Indiana University
University of Waikato
University of Minnesota at Twin Cities
University of the Western Cape
The Pennsylvania State University
The National and University Library of Iceland
Ivan Franko National University of L'viv
University of KwaZulu-Natal
University of Cape Town
The Regents of the University of California
University of Minnesota
American University in Cairo
"Rutgers, The State University of New Jersey"
Medical College of Hampton Roads
University College London
University of Oklahoma
Open University
Heritage College
University of Helsinki
American University in Bulgaria
University of Pittsburgh
King's College London
University of British Columbia
University of Edinburgh
The Open University
Texas A&M University
Antioch College Continuation Corporation
Debrecen University
State University of New York at Buffalo
University of Toronto
University of Washington
City University of New York
University of Ghana
Board of Trustees of the University of Illinois
Council of Independent Colleges
Connecticut Independent College and University
Claremont University Consortium
Royal Holloway and Bedford New College
University Musical Society
University of the Free State
University of the Witwatersrand
Doane College
Columbia University Press
University College Dublin
University of Santiago de Compostela
McGill University
University of St. Michael's College
Makerere University
State University of New York at Binghamton
University of Natal
Martin Luther University Halle-Wittenberg
Australian National University
American Indian College Fund
Claremont University Center
University of Durban-Westville
University of Pretoria
Western Maryland College
University of Cambridge
Bennett College
State University of New York at Stony Brook
Ohio State University
University of Florida at Gainesville
Stellenbosch University
Saint Louis University
Princeton University Press
Technical University of Lodz
Wageningen University Department of Plant Sciences
University of Canterbury
University of Hamburg
University of London
St. John's University
Free University of Berlin
"Queen Margaret University College, Edinburgh"
Washington University
University of G_ttingen
"University College Dublin, National University of Ireland"
University of Virginia
University of Zurich
Committee of University Principals
