year,category,recipient,location,grant_description,award_amt
2008,CONSERVATION AND THE ENVIRONMENT                                               ,Academy of Natural Sciences of Philadelphia,"Philadelphia, Pennsylvania","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","99,000"
2008,CONSERVATION AND THE ENVIRONMENT                                               ,Association Tela Botanica,"Montpellier, France","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","232,000"
2008,CONSERVATION AND THE ENVIRONMENT                                               ,Botanische Staatssammlung München,"Munich, Germany","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","253,000"
2008,CONSERVATION AND THE ENVIRONMENT                                               ,California Academy of Sciences,"San Francisco, California","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","145,000"
2008,CONSERVATION AND THE ENVIRONMENT                                               ,California State University at Bakersfield,"Bakersfield, California",To support a program of ecological research and training in collaboration with the University of Cape Town and South African National Parks,"300,000"
2008,CONSERVATION AND THE ENVIRONMENT,Carnegie Institution of Washington,"Washington, DC",To support a program of ecological research and training,"517,000"
2008,CONSERVATION AND THE ENVIRONMENT,Conservatoire et Jardin Botaniques,"Geneva, Switzerland","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","462,000"
2008,CONSERVATION AND THE ENVIRONMENT,Escuela Agricola Panamericana,"Fairfax, Virginia","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","20,000"
2008,CONSERVATION AND THE ENVIRONMENT,Fairchild Tropical Botanic Garden,"Coral Gables, Florida",To continue to organize smaller herbaria in the Caribbean for participation in the Latin American Plants Initiative,"54,000"
2008,CONSERVATION AND THE ENVIRONMENT,Field Museum of Natural History,"Chicago, Illinois","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","168,000"
2008,CONSERVATION AND THE ENVIRONMENT,Flora of North America Association,"Point Arena, California","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","200,000"
2008,CONSERVATION AND THE ENVIRONMENT,Free University of Berlin,"Berlin, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","294,000"
2008,CONSERVATION AND THE ENVIRONMENT,Friedrich-Schiller-Universitat Jena,"Jena, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","280,000"
2008,CONSERVATION AND THE ENVIRONMENT,Fundacíon Instituto Botánico de Venezuela,"Caracas, Venezuela","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","78,000"
2008,CONSERVATION AND THE ENVIRONMENT,Fundacíon para el Desarrollo de la Ecología FUND-ECO,"La Paz, Bolivia","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","30,000"
2008,CONSERVATION AND THE ENVIRONMENT,Georg-August-Universität Göttingen,"Göttingen, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","97,000"
2008,CONSERVATION AND THE ENVIRONMENT,"Herbario Universitario, UNELLEZ","Estado Portuguesa, Venezuela","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","20,000"
