year,category,recipient,location,grant_description,award_amt
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,Allegheny College,"Meadville, Pennsylvania",To support a tenure-track position in Arabic and the continuing internationalization of the curriculum,"675,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Academy of Arts and Sciences,"Cambridge, Massachusetts",To establish an endowment to support the ongoing maintenance and development of the Humanities Indicators,"3,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Academy of Arts and Sciences,"Cambridge, Massachusetts",To continue support for the National Commission on the Humanities and Social Sciences,"800,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Academy of Arts and Sciences,"Cambridge, Massachusetts",To support the Humanities Indicators,"350,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Council of Learned Societies,"New York, New York","To continue support for a program that funds the appointment of PhDs in the humanities to yearlong fellowships in non-academic organizations, including nonprofit and government agencies","4,280,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Council of Learned Societies,"New York, New York",To support an endowment to generate income reserved for core operating expenses,"3,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Council of Learned Societies,"New York, New York",To support postdoctoral fellowships for recent PhD recipients in the humanities,"2,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP                                                          ,American Historical Association,"Washington, DC",To support an exploration of non-academic employment opportunities for humanities PhDs,"85,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,American Indian College Fund,"Denver, Colorado",To support the continuation of the Mellon Faculty Career Enhancement Fellowship Program for tribal college faculty,"500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,American Philosophical Society,"Philadelphia, Pennsylvania",To support four postdoctoral fellowships with an emphasis on curatorship of historical collections,"666,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,American University in Cairo,"New York, New York",To support pressing institutional adjustments that promote educational effectiveness,"500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,American University in Cairo,"New York, New York",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,American University of Beirut,"New York, New York",To support curricular development and faculty fellowships in the arts and humanities,"735,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France",To support the collaborative work of the American International Consortium of Academic Libraries,"710,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France",To support a program for faculty development,"300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,"Amherst, Massachusetts",To support a program for faculty-student collaborative research in the humanities and social sciences,"724,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,"Amherst, Massachusetts",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Antioch College Continuation Corporation,"Yellow Springs, Ohio",To support presidential initiatives,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support the participation of an additional college in the Bowen Central Library of Appalachia,"66,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.","Chicago, Illinois",To support programs that educate faculty on the economic challenges facing liberal arts colleges and their effects on institutional decision-making,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the Midwest, Inc.","Chicago, Illinois",To support collaborative initiatives in the humanities,"109,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Association of American Colleges and Universities,"Washington, DC",To support multi-institutional curricular and pedagogical collaboration,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Austin College,"Sherman, Texas",To explore opportunities for teaching and learning through the use of digital resources,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,"New York, New York",To support a New Directions Fellowship,"257,300"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Bates College,"Lewiston, Maine",To support a faculty and curricular renewal program in the humanities,"1,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Bennington College,"Bennington, Vermont",To support a faculty enrichment program,"500,000"
