year,category,recipient,location,grant_description,award_amt
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Academy of Natural Sciences of Philadelphia,"Philadelphia, Pennsylvania","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","93,000"
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Arizona State University,"Tempe, Arizona",To support a program of ecological research and training,"299,000"
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Arizona State University,"Tempe, Arizona","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","8,000"
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Association Tela Botanica,"Montpellier, France","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","213,000"
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Botanische Staatssammlung MŸnchen,"Munich, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","275,000"
2009,CONSERVATION AND THE ENVIRONMENT                                                                   ,Brooklyn Botanic Garden Corporation,"Brooklyn, New York","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","22,000"
2009,CONSERVATION AND THE ENVIRONMENT,Carnegie Institution of Washington,"Washington, DC",To support programs of ecological research and training,"537,000"
2009,CONSERVATION AND THE ENVIRONMENT,Conservatoire et Jardin Botaniques,"Geneva, Switzerland","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","480,000"
2009,CONSERVATION AND THE ENVIRONMENT,Corporaci—n para el Desarrollo de las Ciencias,"Santiago, Chile",To support the Latin American Plants Sciences Network (RedLatinoamericana de Bot‡nica),"85,000"
2009,CONSERVATION AND THE ENVIRONMENT,Fairchild Tropical Botanic Garden,"Coral Gables, Florida","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","47,000"
2009,CONSERVATION AND THE ENVIRONMENT,Field Museum of Natural History,"Chicago, Illinois","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","33,000"
2009,CONSERVATION AND THE ENVIRONMENT,Free University of Berlin,"Berlin, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","189,000"
2009,CONSERVATION AND THE ENVIRONMENT,Friedrich-Schiller-Universit_t Jena,"Jena, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","180,000"
2009,CONSERVATION AND THE ENVIRONMENT,Fundaci—n Jard’n Bot‡nico Joaqu’n Antonia Uribe,"Medellin, Colombia","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","11,000"
2009,CONSERVATION AND THE ENVIRONMENT,Georg-August-Universit_t G_ttingen,"G_ttingen, Germany","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","83,000"
2009,CONSERVATION AND THE ENVIRONMENT,Harvard University,"Cambridge, Massachusetts","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","172,000"
2009,CONSERVATION AND THE ENVIRONMENT,Institut Botanic de Barcelona - Institut de Cultura de,"Barcelona, Spain","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","43,000"
2009,CONSERVATION AND THE ENVIRONMENT,Instituto de Botanica Darwinion,"Buenos Aires, Argentina","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","44,000"
2009,CONSERVATION AND THE ENVIRONMENT,Instituto de Ecolog’a A.C.,"Xalapa, Veracruz, Mexico","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","13,000"
2009,CONSERVATION AND THE ENVIRONMENT,Instituto de Pesquisas Jardim Bot‰nico,"Rio de Janeiro, Brazil","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","63,000"
2009,CONSERVATION AND THE ENVIRONMENT,Instituto Nacional de Biodiversidad,"Santo Domingo, Heredia, Costa Rica","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","28,000"
2009,CONSERVATION AND THE ENVIRONMENT,Legal Personality of the National Botanic,"Meise, Belgium","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","213,000"
2009,CONSERVATION AND THE ENVIRONMENT,Lunds Universitet,"Lund, Sweden","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","72,000"
2009,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri","To continue the development of a coordinated digital databaseof images and information on plants of Africa, Latin America, and other areas","178,000"
